Ti.TiO2 (100%)/1	
θ/2θ, °	Intensity, cps
12.5100002288818	286.666656494141
12.5200004577637	340
12.5299997329712	326.666656494141
12.539999961853	333.333343505859
12.5500001907349	326.666656494141
12.5600004196167	260
12.5699996948242	280
12.5799999237061	320
12.5900001525879	253.33332824707
12.6000003814697	273.333343505859
12.6099996566772	286.666656494141
12.6199998855591	360
12.6300001144409	313.333343505859
12.6400003433228	306.666656494141
12.6499996185303	273.333343505859
12.6599998474121	273.333343505859
12.6700000762939	340
12.6800003051758	273.333343505859
12.6899995803833	213.33332824707
12.6999998092651	273.333343505859
12.710000038147	306.666656494141
12.7200002670288	320
12.7299995422363	253.33332824707
12.7399997711182	280
12.75	340
12.7600002288818	266.666656494141
12.7700004577637	260
12.7799997329712	293.333343505859
12.789999961853	260
12.8000001907349	253.33332824707
12.8100004196167	286.666656494141
12.8199996948242	320
12.8299999237061	286.666656494141
12.8400001525879	240
12.8500003814697	340
12.8599996566772	233.33332824707
12.8699998855591	260
12.8800001144409	240
12.8900003433228	293.333343505859
12.8999996185303	306.666656494141
12.9099998474121	306.666656494141
12.9200000762939	306.666656494141
12.9300003051758	346.666656494141
12.9399995803833	293.333343505859
12.9499998092651	253.33332824707
12.960000038147	300
12.9700002670288	306.666656494141
12.9799995422363	260
12.9899997711182	260
13	293.333343505859
13.0100002288818	273.333343505859
13.0200004577637	266.666656494141
13.0299997329712	273.333343505859
13.039999961853	240
13.0500001907349	253.33332824707
13.0600004196167	273.333343505859
13.0699996948242	246.66667175293
13.0799999237061	273.333343505859
13.0900001525879	260
13.1000003814697	200
13.1099996566772	193.33332824707
13.1199998855591	246.66667175293
13.1300001144409	253.33332824707
13.1400003433228	273.333343505859
13.1499996185303	260
13.1599998474121	293.333343505859
13.1700000762939	246.66667175293
13.1800003051758	293.333343505859
13.1899995803833	266.666656494141
13.1999998092651	246.66667175293
13.210000038147	346.666656494141
13.2200002670288	273.333343505859
13.2299995422363	313.333343505859
13.2399997711182	293.333343505859
13.25	240
13.2600002288818	246.66667175293
13.2700004577637	273.333343505859
13.2799997329712	286.666656494141
13.289999961853	266.666656494141
13.3000001907349	200
13.3100004196167	280
13.3199996948242	326.666656494141
13.3299999237061	273.333343505859
13.3400001525879	333.333343505859
13.3500003814697	326.666656494141
13.3599996566772	273.333343505859
13.3699998855591	306.666656494141
13.3800001144409	226.66667175293
13.3900003433228	240
13.3999996185303	306.666656494141
13.4099998474121	313.333343505859
13.4200000762939	226.66667175293
13.4300003051758	206.66667175293
13.4399995803833	320
13.4499998092651	260
13.460000038147	273.333343505859
13.4700002670288	273.333343505859
13.4799995422363	213.33332824707
13.4899997711182	246.66667175293
13.5	273.333343505859
13.5100002288818	226.66667175293
13.5200004577637	273.333343505859
13.5299997329712	273.333343505859
13.539999961853	226.66667175293
13.5500001907349	273.333343505859
13.5600004196167	253.33332824707
13.5699996948242	206.66667175293
