Ti.TiO2-IrO2 (80.20)/1	
θ/2θ, °	Intensity, cps
11.3100004196167	406.666656494141
11.3199996948242	500
11.3299999237061	420
11.3400001525879	493.333343505859
11.3500003814697	440
11.3599996566772	466.666656494141
11.3699998855591	460
11.3800001144409	406.666656494141
11.3900003433228	473.333343505859
11.3999996185303	500
11.4099998474121	380
11.4200000762939	393.333343505859
11.4300003051758	393.333343505859
11.4399995803833	413.333343505859
11.4499998092651	446.666656494141
11.460000038147	380
11.4700002670288	366.666656494141
11.4799995422363	440
11.4899997711182	493.333343505859
11.5	473.333343505859
11.5100002288818	453.333343505859
11.5200004577637	466.666656494141
11.5299997329712	486.666656494141
11.539999961853	460
11.5500001907349	433.333343505859
11.5600004196167	513.333312988281
11.5699996948242	440
11.5799999237061	480
11.5900001525879	353.333343505859
11.6000003814697	380
11.6099996566772	473.333343505859
11.6199998855591	406.666656494141
11.6300001144409	513.333312988281
11.6400003433228	446.666656494141
11.6499996185303	480
11.6599998474121	486.666656494141
11.6700000762939	500
11.6800003051758	473.333343505859
11.6899995803833	406.666656494141
11.6999998092651	493.333343505859
11.710000038147	506.666656494141
11.7200002670288	486.666656494141
11.7299995422363	440
11.7399997711182	480
11.75	433.333343505859
11.7600002288818	446.666656494141
11.7700004577637	520
11.7799997329712	360
11.789999961853	446.666656494141
11.8000001907349	373.333343505859
11.8100004196167	413.333343505859
11.8199996948242	400
11.8299999237061	400
11.8400001525879	486.666656494141
11.8500003814697	440
11.8599996566772	453.333343505859
11.8699998855591	420
11.8800001144409	400
11.8900003433228	433.333343505859
11.8999996185303	420
11.9099998474121	400
11.9200000762939	500
11.9300003051758	346.666656494141
11.9399995803833	446.666656494141
11.9499998092651	546.666687011719
11.960000038147	433.333343505859
11.9700002670288	373.333343505859
11.9799995422363	493.333343505859
11.9899997711182	493.333343505859
12	460
12.0100002288818	466.666656494141
12.0200004577637	380
12.0299997329712	360
12.039999961853	393.333343505859
12.0500001907349	433.333343505859
12.0600004196167	353.333343505859
12.0699996948242	420
12.0799999237061	486.666656494141
12.0900001525879	446.666656494141
12.1000003814697	446.666656494141
12.1099996566772	400
12.1199998855591	386.666656494141
12.1300001144409	440
12.1400003433228	353.333343505859
12.1499996185303	500
12.1599998474121	473.333343505859
12.1700000762939	460
12.1800003051758	386.666656494141
12.1899995803833	433.333343505859
12.1999998092651	540
12.210000038147	506.666656494141
