Ti.IrO2 (100%)/1	
θ/2θ, °	Intensity, cps
10.9499998092651	473.333343505859
10.960000038147	553.333312988281
10.9700002670288	473.333343505859
10.9799995422363	493.333343505859
10.9899997711182	473.333343505859
11	573.333312988281
11.0100002288818	513.333312988281
11.0200004577637	533.333312988281
11.0299997329712	493.333343505859
11.039999961853	493.333343505859
11.0500001907349	573.333312988281
11.0600004196167	506.666656494141
11.0699996948242	493.333343505859
11.0799999237061	553.333312988281
11.0900001525879	493.333343505859
11.1000003814697	460
11.1099996566772	626.666687011719
11.1199998855591	633.333312988281
11.1300001144409	560
11.1400003433228	360
11.1499996185303	633.333312988281
11.1599998474121	486.666656494141
11.1700000762939	493.333343505859
11.1800003051758	560
11.1899995803833	540
11.1999998092651	446.666656494141
11.210000038147	580
11.2200002670288	486.666656494141
11.2299995422363	540
11.2399997711182	546.666687011719
11.25	573.333312988281
11.2600002288818	500
11.2700004577637	520
11.2799997329712	453.333343505859
11.289999961853	546.666687011719
11.3000001907349	553.333312988281
11.3100004196167	560
11.3199996948242	533.333312988281
11.3299999237061	473.333343505859
11.3400001525879	486.666656494141
11.3500003814697	460
11.3599996566772	586.666687011719
11.3699998855591	553.333312988281
11.3800001144409	513.333312988281
11.3900003433228	586.666687011719
11.3999996185303	486.666656494141
11.4099998474121	500
11.4200000762939	446.666656494141
11.4300003051758	580
11.4399995803833	553.333312988281
11.4499998092651	560
11.460000038147	553.333312988281
11.4700002670288	506.666656494141
11.4799995422363	466.666656494141
11.4899997711182	506.666656494141
11.5	560
11.5100002288818	473.333343505859
11.5200004577637	466.666656494141
11.5299997329712	460
11.539999961853	513.333312988281
11.5500001907349	486.666656494141
11.5600004196167	520
11.5699996948242	546.666687011719
11.5799999237061	446.666656494141
11.5900001525879	393.333343505859
11.6000003814697	420
11.6099996566772	620
11.6199998855591	473.333343505859
11.6300001144409	506.666656494141
11.6400003433228	520
11.6499996185303	526.666687011719
11.6599998474121	560
11.6700000762939	593.333312988281
11.6800003051758	566.666687011719
11.6899995803833	453.333343505859
11.6999998092651	526.666687011719
11.710000038147	500
11.7200002670288	486.666656494141
11.7299995422363	546.666687011719
11.7399997711182	540
11.75	526.666687011719
11.7600002288818	533.333312988281
11.7700004577637	446.666656494141
11.7799997329712	446.666656494141
11.789999961853	526.666687011719
11.8000001907349	560
11.8100004196167	466.666656494141
11.8199996948242	406.666656494141
11.8299999237061	480
11.8400001525879	566.666687011719
11.8500003814697	453.333343505859
11.8599996566772	460
11.8699998855591	520
11.8800001144409	513.333312988281
11.8900003433228	400
11.8999996185303	500
11.9099998474121	453.333343505859
11.9200000762939	493.333343505859
11.9300003051758	506.666656494141
11.9399995803833	460
11.9499998092651	533.333312988281
11.960000038147	540
11.9700002670288	533.333312988281
11.9799995422363	526.666687011719
11.9899997711182	493.333343505859
12	486.666656494141
12.0100002288818	566.666687011719
12.0200004577637	453.333343505859
12.0299997329712	486.666656494141
12.039999961853	526.666687011719
12.0500001907349	573.333312988281
12.0600004196167	540
12.0699996948242	453.333343505859
12.0799999237061	486.666656494141
12.0900001525879	480
12.1000003814697	460
12.1099996566772	453.333343505859
12.1199998855591	493.333343505859
12.1300001144409	640
12.1400003433228	540
12.1499996185303	480
12.1599998474121	433.333343505859
12.1700000762939	506.666656494141
12.1800003051758	433.333343505859
12.1899995803833	413.333343505859
12.1999998092651	446.666656494141
12.210000038147	400
12.2200002670288	466.666656494141
12.2299995422363	566.666687011719
12.2399997711182	526.666687011719
12.25	466.666656494141
12.2600002288818	486.666656494141
12.2700004577637	520
12.2799997329712	473.333343505859
12.289999961853	453.333343505859
12.3000001907349	480
12.3100004196167	460
12.3199996948242	593.333312988281
12.3299999237061	446.666656494141
12.3400001525879	546.666687011719
12.3500003814697	413.333343505859
12.3599996566772	473.333343505859
12.3699998855591	493.333343505859
12.3800001144409	400
12.3900003433228	620
12.3999996185303	533.333312988281
12.4099998474121	533.333312988281
12.4200000762939	460
12.4300003051758	466.666656494141
12.4399995803833	406.666656494141
12.4499998092651	473.333343505859
12.460000038147	406.666656494141
12.4700002670288	553.333312988281
12.4799995422363	446.666656494141
12.4899997711182	473.333343505859
12.5	546.666687011719
12.5100002288818	453.333343505859
12.5200004577637	520
12.5299997329712	506.666656494141
12.539999961853	446.666656494141
12.5500001907349	380
12.5600004196167	380
12.5699996948242	486.666656494141
12.5799999237061	400
12.5900001525879	440
12.6000003814697	480
12.6099996566772	520
12.6199998855591	460
12.6300001144409	513.333312988281
12.6400003433228	440
12.6499996185303	480
12.6599998474121	440
12.6700000762939	540
12.6800003051758	453.333343505859
12.6899995803833	413.333343505859
12.6999998092651	460
12.710000038147	440
12.7200002670288	446.666656494141
12.7299995422363	526.666687011719
12.7399997711182	466.666656494141
12.75	526.666687011719
12.7600002288818	606.666687011719
12.7700004577637	486.666656494141
12.7799997329712	486.666656494141
